X,V,A,dA,thrust1,thrust2,tank2,gravity,air_drag,
5548.273611,74.322714,0.100207,0.000389,20.000000,0.000000,100.000000,-9.782143,-10.117650,
5622.696924,74.423313,0.100599,0.000392,20.000000,0.000000,100.000000,-9.781901,-10.117500,
5697.221232,74.524307,0.100994,0.000395,20.000000,0.000000,100.000000,-9.781658,-10.117348,
5771.846931,74.625699,0.101392,0.000398,20.000000,0.000000,100.000000,-9.781416,-10.117192,
5846.574423,74.727492,0.101793,0.000401,20.000000,0.000000,100.000000,-9.781172,-10.117035,
5921.404112,74.829689,0.102197,0.000404,20.000000,0.000000,100.000000,-9.780929,-10.116874,
5996.336404,74.932292,0.102603,0.000407,20.000000,0.000000,100.000000,-9.780685,-10.116711,
6071.371709,75.035305,0.103013,0.000410,20.000000,0.000000,100.000000,-9.780441,-10.116546,
6146.510440,75.138731,0.103425,0.000412,20.000000,0.000000,100.000000,-9.780197,-10.116378,
6221.753011,75.242571,0.103841,0.000415,20.000000,0.000000,100.000000,-9.779952,-10.116207,
6297.099841,75.346830,0.104259,0.000418,20.000000,0.000000,100.000000,-9.779707,-10.116034,
6372.551351,75.451510,0.104680,0.000421,20.000000,0.000000,100.000000,-9.779462,-10.115858,
6448.107965,75.556614,0.105104,0.000424,20.000000,0.000000,100.000000,-9.779216,-10.115680,
6523.770110,75.662145,0.105531,0.000427,20.000000,0.000000,100.000000,-9.778970,-10.115499,
6599.538215,75.768105,0.105961,0.000430,20.000000,0.000000,100.000000,-9.778724,-10.115316,
6675.412714,75.874499,0.106393,0.000433,20.000000,0.000000,100.000000,-9.778477,-10.115130,
6751.394042,75.981328,0.106829,0.000436,20.000000,0.000000,100.000000,-9.778230,-10.114941,
6827.482638,76.088596,0.107268,0.000439,20.000000,0.000000,100.000000,-9.777983,-10.114749,
6903.678944,76.196306,0.107710,0.000442,20.000000,0.000000,100.000000,-9.777735,-10.114555,
6979.983404,76.304460,0.108154,0.000445,20.000000,0.000000,100.000000,-9.777487,-10.114359,
7056.396466,76.413062,0.108602,0.000448,20.000000,0.000000,100.000000,-9.777238,-10.114159,
7132.918581,76.522115,0.109053,0.000451,20.000000,0.000000,100.000000,-9.776990,-10.113957,
7209.550204,76.631622,0.109507,0.000454,20.000000,0.000000,100.000000,-9.776741,-10.113752,
7286.291790,76.741587,0.109964,0.000457,20.000000,0.000000,100.000000,-9.776491,-10.113545,
7363.143802,76.852011,0.110425,0.000460,20.000000,0.000000,100.000000,-9.776241,-10.113334,
7440.106701,76.962899,0.110888,0.000463,20.000000,0.000000,100.000000,-9.775991,-10.113121,
7517.180955,77.074254,0.111355,0.000467,20.000000,0.000000,100.000000,-9.775741,-10.112904,
7594.367034,77.186079,0.111825,0.000470,20.000000,0.000000,100.000000,-9.775490,-10.112685,
7671.665411,77.298377,0.112298,0.000473,20.000000,0.000000,100.000000,-9.775239,-10.112463,
7749.076562,77.411151,0.112774,0.000477,20.000000,0.000000,100.000000,-9.774987,-10.112238,
7826.600968,77.524406,0.113254,0.000480,20.000000,0.000000,100.000000,-9.774735,-10.112010,
7904.239111,77.638143,0.113738,0.000483,20.000000,0.000000,100.000000,-9.774483,-10.111779,
7981.991478,77.752367,0.114224,0.000487,20.000000,0.000000,100.000000,-9.774230,-10.111545,
8059.858560,77.867082,0.114714,0.000490,20.000000,0.000000,100.000000,-9.773977,-10.111308,
8137.840850,77.982290,0.115208,0.000494,20.000000,0.000000,100.000000,-9.773724,-10.111068,
8215.938844,78.097994,0.115705,0.000497,20.000000,0.000000,100.000000,-9.773470,-10.110825,
8294.153044,78.214200,0.116205,0.000501,20.000000,0.000000,100.000000,-9.773216,-10.110578,
8372.483953,78.330909,0.116710,0.000504,20.000000,0.000000,100.000000,-9.772962,-10.110329,
8450.932080,78.448127,0.117217,0.000508,20.000000,0.000000,100.000000,-9.772707,-10.110076,
8529.497935,78.565855,0.117729,0.000511,20.000000,0.000000,100.000000,-9.772452,-10.109820,
